Learning Rate,Regularization Lambda,Hidden Size,Validation Accuracy,Test Accuracy
0.001,0.0001,128,0.3716,0.374
0.001,0.0001,256,0.378,0.3905
0.001,0.0001,512,0.3788,0.3874
0.001,0.001,128,0.366,0.3696
0.001,0.001,256,0.383,0.388
0.001,0.001,512,0.3794,0.3798
0.001,0.01,128,0.3636,0.3675
0.001,0.01,256,0.3786,0.3796
0.001,0.01,512,0.3702,0.3827
0.01,0.0001,128,0.4008,0.4082
0.01,0.0001,256,0.428,0.4335
0.01,0.0001,512,0.3674,0.3642
0.01,0.001,128,0.4114,0.4185
0.01,0.001,256,0.4264,0.4301
0.01,0.001,512,0.4338,0.4396
0.01,0.01,128,0.4142,0.4209
0.01,0.01,256,0.4374,0.436
0.01,0.01,512,0.4004,0.4014
0.1,0.0001,128,0.2166,0.2226
0.1,0.0001,256,0.313,0.3038
0.1,0.0001,512,0.3754,0.3746
0.1,0.001,128,0.2316,0.2311
0.1,0.001,256,0.2432,0.2509
0.1,0.001,512,0.382,0.3739
0.1,0.01,128,0.3126,0.3118
0.1,0.01,256,0.2428,0.2417
0.1,0.01,512,0.1174,0.1167
